"filename", "language", "CSS", "XML", "JSON", "HTML", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/edinyj-zakazchik-ppk.6664d4af7c6e50e958dc.svg", "XML", 0, -9, 0, 0, 0, 0, 0, -1, -10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/fau-roskapstroj.c21fc302818b30c14340.svg", "XML", 0, -11, 0, 0, 0, 0, 0, -1, -12
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/humidity.8b52728b9644d868c591.svg", "XML", 0, -4, 0, 0, 0, 0, 0, -1, -5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/kollerovka.f34348357154af1ab272.svg", "XML", 0, -10, 0, 0, 0, 0, 0, -1, -11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/lider-grupp.bd6fc26a2e87b1f4f30e.svg", "XML", 0, -14, 0, 0, 0, 0, 0, -1, -15
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/ogau-korporaciya-dom73.dea88b90afb44308736a.svg", "XML", 0, -18, 0, 0, 0, 0, 0, -1, -19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/rks-novorossiya.7c016e635691c188af4d.svg", "XML", 0, -9, 0, 0, 0, 0, 0, -1, -10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/samolet.f3e008f9ce3397c28e3e.svg", "XML", 0, -5, 0, 0, 0, 0, 0, -1, -6
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/setl-grupp.62c7fb1cac23cb2581e6.svg", "XML", 0, -18, 0, 0, 0, 0, 0, -1, -19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/stroitelnaya-kompaniya-kvs.9fa683fa7159fb50026a.svg", "XML", 0, -5, 0, 0, 0, 0, 0, -1, -6
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/images/visokayAgdezia.b35cb46495f77a0a2c12.svg", "XML", 0, -7, 0, 0, 0, 0, 0, -1, -8
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/index.17c3903248f438941907.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/index.css", "CSS", -35, 0, 0, 0, 0, 0, 0, -3, -38
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/index.html", "HTML", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/partners.31d6cfe0d16ae931b73c.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/partners.css", "CSS", -35, 0, 0, 0, 0, 0, 0, -3, -38
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/partners.html", "HTML", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/productTemplate.8e957e261ccd8f90e22d.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/dist/productTemplate.css", "CSS", -35, 0, 0, 0, 0, 0, 0, -3, -38
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/about.html", "HTML", 0, 0, 0, 432, 0, 0, 12, 25, 469
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrow-left-white.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrow-left.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrow.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrowWhite.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/closeIcon.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/download-white.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/favicon.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/icon-grunt.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/icon-kraska.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/iconAbout.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/iconFileDownload.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/iconFirst.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/katalog.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/kollerovka.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/mail.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/phone.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/textur.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/Group 200.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/Logo-yellow.svg", "XML", 0, 23, 0, 0, 0, 0, 0, 1, 24
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/Logo.svg", "XML", 0, 23, 0, 0, 0, 0, 0, 1, 24
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/Proniknovenie.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/Tekstura.svg", "XML", 0, 48, 0, 0, 0, 0, 0, 1, 49
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/Ukreplenie.svg", "XML", 0, 46, 0, 0, 0, 0, 0, 1, 47
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/adhesion.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/download_white.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/ecology.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/humidity.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/centr-stroitelnogo-kontrolya-i-ekspertiz-leningradskoj-oblasti.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/edinyj-zakazchik-ppk.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/fau-roskapstroj.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/lider-grupp.svg", "XML", 0, 14, 0, 0, 0, 0, 0, 1, 15
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/ogau-korporaciya-dom73.svg", "XML", 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/rks-novorossiya.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/samolet.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/setl-grupp.svg", "XML", 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/stroitelnaya-kompaniya-kvs.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/visokayAgdezia.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 1, 8
