"filename", "language", "XML", "HTML", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/about/about-img/about-img.js", "JavaScript", 0, 0, 0, 0, 35, 3, 14, 52
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/about/about.js", "JavaScript", 0, 0, 0, 0, 57, 13, 14, 84
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/about/review/review.js", "JavaScript", 0, 0, 0, 0, 30, 10, 12, 52
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/catalog/catalog.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/color_collections/color_collections.js", "JavaScript", 0, 0, 0, 0, 6, 0, 4, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/duluxCr5/duluxCr5.js", "JavaScript", 0, 0, 0, 0, 34, 0, 5, 39
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/product-template/asd.html", "HTML", 0, -1, 0, 0, 0, 0, 0, -1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/product-template/description/updatePrice.js", "JavaScript", 0, 0, 0, 0, 19, 0, 4, 23
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/ralClassic/ralClassic.js", "JavaScript", 0, 0, 0, 0, 6, 0, 3, 9
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/universal-function/colorCatalog.js", "JavaScript", 0, 0, 0, 0, 143, 31, 37, 211
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/styles/global.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 3
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/styles/styles.css", "CSS", 0, 0, 8, 0, 0, 0, 2, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/styles/variables.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"Total", "-", 70, 8205, 678, 88337, 330, 157, 307, 98084
