"filename", "language", "HTML", "CSS", "XML", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/adhesion.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/download_white.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/ecology.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/humidity.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/mapLO.svg", "XML", 0, 0, 58, 0, 0, 0, 0, 1, 59
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/centr-stroitelnogo-kontrolya-i-ekspertiz-leningradskoj-oblasti.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/edinyj-zakazchik-ppk.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/fau-roskapstroj.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/lider-grupp.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/ogau-korporaciya-dom73.svg", "XML", 0, 0, 18, 0, 0, 0, 0, 1, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/rks-novorossiya.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/samolet.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/setl-grupp.svg", "XML", 0, 0, 18, 0, 0, 0, 0, 1, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/partnersIcon/stroitelnaya-kompaniya-kvs.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/preloader/Logo.svg", "XML", 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/preloader/big_opaciti_logo.svg", "XML", 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/visokayAgdezia.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/about/about-advantages/about-advantages.css", "CSS", 0, 63, 0, 0, 0, 0, 4, 7, 74
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/about/about-img/about-img.css", "CSS", 0, 32, 0, 0, 0, 0, 0, 5, 37
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/about/about-mission/about-mission.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 8, 46
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/about/about-production/about-production.css", "CSS", 0, 34, 0, 0, 0, 0, 0, 6, 40
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/about/about-review/about-review.css", "CSS", 0, 82, 0, 0, 0, 0, 0, 16, 98
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/about/about.css", "CSS", 0, 81, 0, 0, 0, 0, 0, 13, 94
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/breadcrumbs/breadcrumbs.css", "CSS", 0, 36, 0, 0, 0, 0, 4, 7, 47
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button-download.css", "CSS", 0, 25, 0, 0, 0, 0, 0, 5, 30
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button-slider.css", "CSS", 0, 27, 0, 0, 0, 0, 0, 6, 33
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button-up.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button.css", "CSS", 0, 65, 0, 0, 0, 0, 0, 8, 73
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/footer-btn-download.css", "CSS", 0, 20, 0, 0, 0, 0, 0, 2, 22
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/1.catalog-header/catalog-header.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/catalog-products.css", "CSS", 0, 100, 0, 0, 0, 0, 2, 19, 121
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/filters.css", "CSS", 0, 76, 0, 0, 0, 0, 0, 14, 90
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/list-grid.css", "CSS", 0, 64, 0, 0, 0, 0, 2, 12, 78
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/view-options.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 5, 36
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/catalog.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/certification/certification.css", "CSS", 0, 30, 0, 0, 0, 0, 0, 6, 36
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/color_collections/color_collections.css", "CSS", 0, 75, 0, 0, 0, 0, 0, 14, 89
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/contacts/contacts.css", "CSS", 0, 77, 0, 0, 0, 0, 0, 19, 96
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/duluxCr5/duluxCr5.css", "CSS", 0, 110, 0, 0, 0, 0, 7, 20, 137
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/footer/footer.css", "CSS", 0, 144, 0, 0, 0, 0, 0, 24, 168
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/forms/contact-cta.css", "CSS", 0, 67, 0, 0, 0, 0, 0, 10, 77
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/header/header.css", "CSS", 0, 82, 0, 0, 0, 0, 0, 15, 97
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/1.start-section/start-section.css", "CSS", 0, 114, 0, 0, 0, 0, 1, 26, 141
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/2.popular-product/popular-product-section.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/2.popular-product/slider.css", "CSS", 0, 134, 0, 0, 0, 0, 0, 19, 153
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/3.advantage-section/advantage-section.css", "CSS", 0, 117, 0, 0, 0, 0, 2, 23, 142
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/4.partners-section/partners-section.css", "CSS", 0, 49, 0, 0, 0, 0, 0, 7, 56
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/5.change-color-section/change-color-section.css", "CSS", 0, 100, 0, 0, 0, 0, 13, 17, 130
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/index.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/preloader/preloader.css", "CSS", 0, 67, 0, 0, 0, 0, 3, 10, 80
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/nskSystem/nskSystem.css", "CSS", 0, 44, 0, 0, 0, 0, 0, 9, 53
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/obratnaya-svyaz/obratnaya-svyaz.css", "CSS", 0, 121, 0, 0, 0, 0, 9, 20, 150
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/partners/form/form.css", "CSS", 0, 120, 0, 0, 0, 0, 0, 21, 141
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/partners/partners.css", "CSS", 0, 132, 0, 0, 0, 0, 0, 23, 155
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/popup/popup.css", "CSS", 0, 35, 0, 0, 0, 0, 3, 5, 43
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/description/description.css", "CSS", 0, 107, 0, 0, 0, 0, 0, 17, 124
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/description/product-consumption.css", "CSS", 0, 32, 0, 0, 0, 0, 0, 5, 37
