"filename", "language", "HTML", "CSS", "XML", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-catalog-color/nsk.json", "JSON", 0, 0, 0, 8136, 0, 0, 0, 8136
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-catalog-color/tekcInterior.json", "JSON", 0, 0, 0, 31403, 0, 0, 1, 31404
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-catalog-color/tekc_ Exterior.json", "JSON", 0, 0, 0, -4646, 0, 0, -1, -4647
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-catalog-color/tekc_ Interior.json", "JSON", 0, 0, 0, -31403, 0, 0, -1, -31404
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-catalog-color/tekcexterior.json", "JSON", 0, 0, 0, 4646, 0, 0, 1, 4647
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-catalog-color/tikkurila_symphony.json", "JSON", 0, 0, 0, 2151, 0, 0, 0, 2151
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-change-color.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/duluxCr5.html", "HTML", 22, 0, 0, 0, 0, 0, -1, 21
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/index.html", "HTML", -94, 0, 0, 0, 0, 33, -19, -80
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/nskSystem.html", "HTML", 1507, 0, 0, 0, 0, 12, 28, 1547
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/obratnaya-svyaz.html", "HTML", 581, 0, 0, 0, 0, 18, 29, 628
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/partners.html", "HTML", 1437, 0, 0, 0, 0, 0, 0, 1437
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/product-template.html", "HTML", 15, 0, 0, 0, 0, 0, -1, 14
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/ralClassic.html", "HTML", 20, 0, 0, 0, 0, 0, -1, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/about/about.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/about/review/review.js", "JavaScript", 0, 0, 0, 0, -1, 1, 0, 0
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/catalog/app.js", "JavaScript", 0, 0, 0, 0, 9, -1, 0, 8
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/catalog/filters.js", "JavaScript", 0, 0, 0, 0, 15, 4, 3, 22
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/color_collections/color_collections.js", "JavaScript", 0, 0, 0, 0, 12, 0, 4, 16
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/modal/modal.js", "JavaScript", 0, 0, 0, 0, 22, 7, 7, 36
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/nskSystem/nskSystem.js", "JavaScript", 0, 0, 0, 0, 7, 0, 4, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/obratnaya-svyaz/obratnaya-svyaz.js", "JavaScript", 0, 0, 0, 0, 41, 6, 7, 54
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/start-page/5.change-color-section.js", "JavaScript", 0, 0, 0, 0, 4, -4, 0, 0
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/start-page/index.js", "JavaScript", 0, 0, 0, 0, 50, 5, 11, 66
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/tekc/tekcexterior.js", "JavaScript", 0, 0, 0, 0, 7, 0, 2, 9
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/tekc/tekcinterior.js", "JavaScript", 0, 0, 0, 0, 7, 0, 3, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/tikkurilasymphony/tikkurilasymphony.js", "JavaScript", 0, 0, 0, 0, 7, 0, 3, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/styles/styles.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/tekcexterior.html", "HTML", 618, 0, 0, 0, 0, 12, 27, 657
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/tekcinterior.html", "HTML", 619, 0, 0, 0, 0, 12, 27, 658
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/tikkurilasymphony.html", "HTML", 610, 0, 0, 0, 0, 12, 27, 649
"Total", "-", 5429, 395, 5328, 10291, 181, 133, 239, 21996
