"filename", "language", "XML", "HTML", "JavaScript", "CSS", "JSON", "Markdown", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/catalog/filters.js", "JavaScript", 0, 0, 82, 0, 0, 0, 8, 6, 96
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/catalog/json-guide.md", "Markdown", 0, 0, 0, 0, 0, -87, 0, -2, -89
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/catalog/products.js", "JavaScript", 0, 0, -3, 0, 0, 0, 10, 8, 15
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/catalog/toggleView.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 4, 19
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/product-template/image/image.js", "JavaScript", 0, 0, 56, 0, 0, 0, 8, 12, 76
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/start-page/5.change-color-section.js", "JavaScript", 0, 0, 84, 0, 0, 0, 22, 30, 136
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/start-page/partner-section.js", "JavaScript", 0, 0, 38, 0, 0, 0, 10, 12, 60
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/start-page/slider-popular-product.js", "JavaScript", 0, 0, 130, 0, 0, 0, 18, 36, 184
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/styles/styles.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 2, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/styles/variables.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"Total", "-", 0, 971, 187, 293, 528, -87, 58, 129, 2079
