"filename", "language", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrow-left-white.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrow-left.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrow.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/arrowWhite.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/closeIcon.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/download-white.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/favicon.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/icon-grunt.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/icon-kraska.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/iconAbout.svg", "XML", 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/iconFileDownload.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/iconFirst.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/katalog.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/kollerovka.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/mail.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/phone.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/icons/textur.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/assets/images/Group 200.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 1, 11
